Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
2024-09-09,2542,30,Female,20.82,5.78,8.96,2,4,28,164,5.8658245793962225,8,1,6
2024-05-24,9702,24,Male,20.05,2.3,6.25,3,60,181,166,7.39377607397581,10,3,7
2024-05-05,5268,30,Female,23.95,8.15,8.2,8,60,0,130,8.666950120777276,9,1,9
2024-11-07,1928,55,Male,21.95,2.51,4.56,5,79,212,163,8.430834275210566,4,9,2
2024-02-16,2256,31,Other,22.0,5.64,7.64,6,2,143,11,11.66961925926277,8,6,8
2024-06-04,5468,25,Female,23.58,6.4,6.82,10,59,177,27,4.621877095719879,9,4,6
2024-05-24,6320,50,Male,23.2,7.12,7.92,3,5,81,114,9.80575606710688,9,2,10
2024-11-07,9989,22,Other,23.53,7.92,8.39,2,48,266,84,9.996626399808576,9,6,1
2024-04-07,8266,18,Male,23.9,8.72,8.82,1,68,132,101,11.305326018061143,7,5,5
2024-06-13,5809,27,Other,20.33,3.09,6.75,1,50,172,3,5.829142444027702,1,8,2
2024-12-13,8239,56,Female,21.55,4.43,6.88,3,49,267,53,11.743790123518584,9,1,7
2024-07-25,2252,38,Female,21.17,2.73,5.56,6,63,251,37,8.86470279633508,2,3,2
2024-11-03,5261,50,Other,23.48,7.09,7.61,3,80,132,28,5.1765878474323035,8,1,10
2024-09-29,4579,37,Male,21.08,4.05,6.96,3,22,182,79,5.215221548098355,6,8,4
2024-12-25,9472,20,Other,22.47,7.83,9.37,10,50,276,4,6.760661022579094,10,6,5
2024-11-21,7376,29,Female,21.55,2.69,5.14,10,44,72,25,10.395283191272341,9,6,8
2024-12-15,3878,34,Female,23.0,3.92,4.92,3,51,206,46,6.963776822331056,6,10,7
2024-03-18,1364,43,Female,22.92,4.08,5.17,3,22,237,106,8.256907882122526,2,10,6
2024-08-14,2906,32,Male,22.6,4.01,5.41,7,56,272,85,6.619978817423317,9,1,4
2024-01-25,8561,20,Male,20.28,1.22,4.93,6,33,110,7,8.692283477286072,3,10,9
2024-04-10,3739,43,Female,22.92,5.91,6.99,6,32,149,20,5.222873113474656,7,4,8
2024-11-06,9434,48,Male,23.38,4.44,5.06,2,83,219,74,10.924057007151841,6,6,1
2024-04-03,3551,55,Other,21.93,6.03,8.09,8,25,172,43,5.640620481195673,10,6,4
2024-10-01,9915,50,Male,23.77,7.8,8.04,6,36,138,99,6.565137537276114,3,1,6
2024-06-26,1009,22,Other,21.72,3.23,5.51,8,1,83,64,5.110598187536163,9,1,9
2024-02-07,4490,47,Other,20.07,4.72,8.65,2,77,136,161,5.449864529325281,3,1,8
2024-11-15,6951,46,Other,20.6,2.11,5.51,3,84,164,4,5.885533968519998,10,4,9
2024-08-24,2065,42,Female,23.12,5.81,6.7,3,37,22,62,8.021763120739834,9,1,1
2024-11-04,4687,57,Other,22.83,5.49,6.66,3,6,178,41,5.114176581307098,1,4,7
2024-06-05,2120,54,Other,22.53,3.2,4.67,6,65,9,4,11.014125094093995,1,6,6
2024-06-07,7371,41,Other,20.12,1.37,5.25,4,75,172,129,4.097624578544356,3,3,4
2024-10-18,1793,44,Male,23.17,8.46,9.3,8,37,133,22,7.6960464291530615,10,8,2
2024-04-20,1827,29,Male,23.6,7.64,8.04,10,30,50,28,4.833975728414476,9,6,7
2024-09-13,6732,38,Female,21.58,2.71,5.12,9,0,54,114,8.730203485959434,5,9,5
2024-05-16,9393,43,Male,22.85,6.04,7.19,6,1,209,161,11.347637799514409,3,6,8
2024-01-25,2990,23,Male,23.53,5.85,6.31,6,25,155,113,9.308298976133685,7,1,4
2024-12-26,1688,37,Female,21.45,4.63,7.18,8,48,256,140,7.178544923660783,3,8,3
2024-11-13,3079,47,Male,20.73,3.12,6.39,8,18,17,0,10.204220933560084,2,2,6
2024-04-22,6797,21,Male,23.47,4.34,4.88,3,31,265,109,8.21262773327435,1,7,7
2024-10-14,4462,46,Male,20.9,2.67,5.77,7,58,254,71,4.832868655876591,5,3,3
2024-04-06,4675,25,Female,22.52,7.96,9.44,8,45,164,141,6.345181842088106,2,7,10
2024-09-19,3198,38,Other,23.3,6.72,7.42,2,1,196,147,6.686926857198681,2,3,7
2024-04-28,5491,37,Male,20.62,4.99,8.37,9,52,279,80,10.947743807183302,8,7,1
2024-04-24,3573,26,Female,20.4,2.19,5.79,6,21,234,3,5.058209689002643,2,7,5
2024-03-15,7981,35,Male,21.58,4.57,6.99,2,16,164,152,7.979719151839125,7,5,10
2024-12-07,3074,48,Female,22.65,4.4,5.75,9,52,172,144,7.350164199136585,10,2,6
2024-12-28,3866,53,Other,21.47,3.91,6.45,8,10,163,112,9.772262888975245,8,3,6
2024-04-07,5150,41,Female,21.07,3.99,6.92,10,35,238,147,5.296111023132677,4,1,2
2024-07-19,1153,19,Male,20.13,2.39,6.26,1,88,60,170,8.786288466145237,9,7,3
2024-05-10,2252,47,Female,21.18,3.49,6.3,1,60,16,73,9.524481859565125,1,8,3
2024-09-20,3708,34,Other,20.88,4.57,7.69,8,24,88,11,5.769675534556818,10,9,10
2024-02-16,5873,33,Other,20.37,3.65,7.28,6,6,269,78,9.57936213797472,9,3,8
2024-11-10,2500,35,Other,21.85,6.57,8.72,2,58,102,16,9.201338803545825,8,3,2
2024-05-10,3983,43,Other,22.72,6.08,7.36,8,3,209,160,11.087821985889498,10,2,7
2024-08-14,4241,51,Female,22.9,4.33,5.43,2,31,95,122,11.9834728842667,4,1,5
2024-08-23,1271,27,Female,20.63,3.75,7.11,1,48,2,172,6.836977261126212,2,4,2
2024-10-19,8832,18,Male,21.23,3.87,6.64,1,87,139,36,10.290760115324417,6,7,8
2024-11-14,9202,30,Female,20.1,5.56,9.46,8,19,62,53,8.861894359030874,10,2,9
2024-08-05,1936,20,Female,20.07,3.72,7.65,7,48,8,98,8.778192579442727,1,10,3
2024-06-26,8312,41,Other,23.57,5.19,5.62,8,88,67,141,10.88101453134339,9,8,3
2024-05-02,2218,42,Female,23.68,8.23,8.55,8,24,260,138,4.695894079291281,8,6,8
2024-09-07,4972,43,Female,21.6,3.2,5.6,5,76,80,113,7.961172216111795,3,10,3
2024-02-25,7183,44,Male,20.53,5.43,8.89,3,79,167,91,10.804653832753935,9,9,5
2024-06-18,5286,44,Female,23.1,8.01,8.91,10,30,22,169,5.030958939787562,5,7,2
2024-12-21,9780,46,Other,21.52,2.44,4.92,1,16,222,97,9.07204562479689,8,3,6
2024-03-14,6352,49,Female,22.45,6.11,7.66,5,21,195,147,9.503085778406508,2,4,1
2024-01-12,9073,18,Female,21.92,2.65,4.73,2,13,191,174,11.751022842285533,4,3,4
2024-01-07,9220,28,Male,21.77,4.71,6.94,3,74,57,25,5.271506266214052,2,4,1
2024-04-08,7540,58,Other,22.9,7.53,8.63,4,31,129,174,9.443994416597704,6,3,1
2024-08-23,1988,38,Other,23.6,7.29,7.69,6,18,256,57,11.152793629433075,2,3,1
2024-10-07,1791,29,Female,22.72,5.58,6.87,8,59,144,92,10.212774822333934,2,4,7
2024-12-14,1959,41,Female,22.32,6.8,8.48,9,77,272,125,9.48452229783177,4,9,6
2024-11-14,6109,19,Other,23.2,4.45,5.25,5,17,94,165,6.333300629674426,9,1,6
2024-09-23,1213,41,Male,20.18,5.62,9.43,6,85,91,147,6.7681325411587165,8,2,1
2024-01-02,7368,50,Male,20.48,1.15,4.67,4,25,102,165,8.540326786092464,10,2,2
2024-04-15,9619,57,Other,20.03,5.01,8.98,9,5,72,102,8.903553398924847,9,2,8
2024-11-23,4389,37,Female,22.97,5.89,6.92,4,79,21,153,7.847230651591879,9,10,2
2024-01-12,2560,36,Other,21.58,5.8,8.22,7,52,182,31,7.985565731625112,2,6,2
2024-07-29,1661,54,Male,22.03,2.94,4.91,3,34,92,96,10.723619250215467,1,5,10
2024-01-24,9595,54,Female,23.98,4.68,4.7,1,50,95,104,7.508923353516724,5,2,4
2024-03-06,2394,29,Other,20.28,3.94,7.66,1,25,7,99,11.272260165325129,7,10,2
2024-10-19,5648,31,Other,20.32,3.78,7.46,6,16,27,65,10.863890031381647,5,1,8
2024-06-12,8062,48,Other,21.03,3.74,6.71,10,9,256,132,5.989714180701039,1,9,6
2024-10-10,4192,54,Other,20.18,3.06,6.87,1,43,155,110,10.946170244106069,4,2,2
2024-10-19,1281,46,Male,22.57,5.33,6.76,5,58,160,178,4.332582872403137,10,4,5
2024-08-29,2239,51,Male,21.47,6.31,8.84,8,42,177,150,9.334914060368835,4,7,4
2024-12-01,2969,59,Other,23.82,5.26,5.44,7,7,156,95,5.876490346678629,6,2,1
2024-11-06,6238,43,Other,21.48,4.47,6.99,1,25,135,46,8.564877973110637,8,9,4
2024-10-15,4072,36,Other,23.22,5.69,6.47,5,89,219,62,11.817393473770538,9,9,9
2024-09-01,4230,58,Other,23.55,6.07,6.52,4,18,81,140,10.382509190869076,3,1,8
2024-11-05,1454,42,Male,22.0,4.33,6.33,7,14,92,160,5.90035304699462,1,3,6
2024-09-23,8010,25,Female,21.15,5.45,8.3,9,2,84,25,11.61182847732793,2,6,5
2024-08-08,2177,42,Male,21.78,5.18,7.4,4,14,42,175,8.395313907443626,2,5,7
2024-04-16,5431,32,Male,23.17,5.57,6.4,4,20,140,18,4.811366627593732,4,5,4
2024-01-27,7894,45,Other,23.25,4.2,4.95,2,1,76,131,10.585392124765281,7,10,7
2024-06-07,4654,59,Male,21.92,7.23,9.31,4,6,171,119,8.211993553230247,7,6,6
2024-10-03,7869,45,Male,21.13,4.87,7.73,8,41,71,151,6.827371034421745,10,5,4
2024-02-19,7807,36,Other,21.4,2.38,4.98,4,73,241,68,5.344113661958907,3,2,1
2024-04-28,9853,54,Other,22.45,3.98,5.53,10,72,77,76,8.755810681489384,9,2,3
2024-09-19,7780,56,Male,20.17,5.62,9.46,3,67,217,101,8.627095336051273,7,4,8
2024-08-16,8843,20,Male,23.53,5.17,5.63,9,67,268,48,10.654904906011376,5,5,8
2024-08-17,2735,20,Female,23.95,6.12,6.17,6,1,214,171,9.294713518795028,1,3,2
2024-10-12,5211,25,Female,23.95,9.24,9.29,9,54,207,105,4.773411597173757,9,7,1
2024-05-15,8123,20,Female,20.37,2.86,6.5,8,4,247,107,5.949253728510933,5,4,6
2024-08-18,5895,50,Male,23.18,7.59,8.41,2,13,291,150,6.104900559286743,2,9,5
2024-09-14,3496,28,Other,23.37,8.58,9.21,2,54,261,162,10.290207654056756,6,5,4
2024-01-12,1560,59,Female,21.73,4.14,6.4,8,29,133,66,10.320243490456491,4,9,5
2024-06-11,7721,44,Female,22.28,7.57,9.29,2,9,24,24,7.834835521102814,1,4,1
2024-04-19,5917,20,Other,20.08,1.32,5.23,5,7,24,78,11.70492089271339,4,2,6
2024-06-08,2884,19,Other,22.5,3.31,4.81,3,33,265,88,4.465310364043806,2,8,9
2024-03-23,6448,45,Female,21.83,3.22,5.39,1,3,259,102,5.831156838772909,5,7,4
2024-08-08,1419,55,Other,21.6,6.53,8.93,3,6,154,91,7.853078772278899,7,5,6
2024-05-12,5481,44,Male,21.62,3.42,5.8,10,86,64,12,4.096966197151146,2,5,5
2024-12-03,5268,49,Male,22.8,6.04,7.24,5,51,255,116,7.9059290961742255,4,2,4
2024-04-21,1593,57,Other,20.47,2.94,6.47,6,41,20,41,11.136677511521874,9,1,8
2024-05-08,1571,46,Male,21.82,2.51,4.69,8,20,283,33,7.090791278786524,6,8,1
2024-03-19,9080,40,Male,22.07,6.25,8.19,1,86,100,7,4.333383204819074,9,7,1
2024-04-18,9599,52,Male,20.32,4.5,8.19,10,30,227,138,11.765999661365361,3,7,3
2024-01-28,9754,22,Male,21.88,6.21,8.32,10,37,110,111,11.742880278760243,8,8,9
2024-11-24,4009,32,Female,22.8,4.58,5.78,4,77,104,168,11.678612144607431,7,2,10
2024-05-28,4747,29,Other,23.02,6.53,7.51,5,31,287,31,9.251828858652022,10,1,8
2024-07-01,6784,57,Other,21.98,4.43,6.44,2,21,212,171,5.5797639188794985,1,8,5
2024-05-01,6341,56,Male,23.67,6.89,7.22,5,12,148,125,10.735988423120492,8,7,7
2024-08-23,9789,39,Other,20.35,3.55,7.2,2,1,28,179,10.54228263885556,3,7,8
2024-02-13,9652,39,Other,20.53,3.58,7.04,6,18,22,156,4.750055365164453,9,5,8
2024-12-27,8353,33,Male,23.07,7.97,8.91,4,63,9,148,9.864570368237398,7,2,9
2024-04-21,6132,26,Female,21.42,6.12,8.7,1,77,13,120,11.664587840955042,9,4,3
2024-08-10,6110,23,Other,20.95,3.29,6.34,4,19,23,153,7.132205585422635,5,6,8
2024-12-24,6891,37,Male,22.1,5.0,6.9,3,87,228,79,5.803510043709551,4,4,8
2024-09-10,1161,47,Female,22.5,3.11,4.61,3,48,210,149,9.563325186624425,10,6,5
2024-12-21,9623,53,Female,22.8,5.47,6.67,2,62,115,112,8.785802352509911,9,6,1
2024-07-16,2283,37,Other,22.23,4.78,6.55,7,8,89,143,5.6234909405992175,4,10,2
2024-09-15,6068,47,Female,21.73,5.72,7.99,3,18,34,45,5.804330639405861,5,5,4
2024-02-18,9895,22,Female,21.05,1.8,4.75,7,34,128,23,9.836065829219173,6,9,6
2024-06-22,8531,48,Male,23.33,4.18,4.84,10,29,219,134,5.975830392575999,8,10,6
2024-04-15,8896,30,Female,23.13,6.07,6.94,8,83,249,106,5.113962968940761,4,2,1
2024-01-07,1671,28,Other,23.1,5.57,6.47,10,13,164,57,11.836406723054054,5,3,7
2024-08-05,9100,41,Male,22.83,8.19,9.36,9,60,160,177,9.760064317304906,10,9,7
2024-03-26,4062,50,Male,23.55,6.07,6.52,9,38,85,176,8.348305738741168,6,6,2
2024-03-05,2537,39,Male,21.15,3.96,6.81,3,38,85,75,4.498184847055085,8,6,10
2024-04-08,2727,49,Other,20.32,3.54,7.22,4,85,142,119,5.010030262340908,6,4,9
2024-06-16,3105,45,Female,20.02,0.84,4.83,3,71,43,96,7.125826924908906,3,6,7
2024-10-05,7744,36,Male,22.17,3.69,5.52,10,7,296,163,6.211533524667169,8,7,9
2024-02-16,9078,57,Female,21.98,5.96,7.98,2,6,258,26,6.215235899022471,8,6,1
2024-08-07,4200,25,Male,23.98,8.59,8.6,5,3,245,18,11.05933094725871,7,1,7
2024-01-21,1669,30,Female,23.45,8.36,8.91,7,26,24,130,8.219196976981411,9,4,2
2024-06-02,7788,52,Male,23.47,5.45,5.98,6,49,133,59,6.514800905469987,2,9,5
2024-08-03,1587,45,Female,21.78,5.84,8.06,8,89,189,160,5.918992902047558,4,2,9
2024-11-02,6433,28,Male,22.78,6.17,7.39,1,68,107,138,10.749898611253794,3,1,4
2024-09-28,7049,19,Other,23.92,4.76,4.85,7,69,200,147,5.817436456188119,8,7,7
2024-05-07,7659,42,Other,21.23,2.8,5.56,3,56,116,45,10.073989864486743,4,1,7
2024-12-20,2787,30,Other,21.83,6.87,9.04,7,58,90,97,7.576444350451403,6,4,5
2024-11-23,6661,31,Other,23.8,4.51,4.71,8,13,153,101,6.2402986364039155,9,3,3
2024-10-01,8880,45,Male,22.22,6.35,8.13,7,18,119,165,4.961977812093405,4,8,1
2024-10-12,1264,50,Male,21.17,2.04,4.87,9,58,221,40,4.385142687826828,4,8,2
2024-12-26,8804,39,Male,23.9,7.06,7.16,1,47,157,11,8.662454680667917,2,5,5
2024-11-20,8851,50,Male,20.13,5.18,9.05,4,34,215,64,4.201135666218182,7,8,6
2024-03-16,7317,32,Male,22.42,3.74,5.32,6,20,37,19,10.310418111242877,3,4,7
2024-12-13,1771,39,Male,22.35,4.16,5.81,8,33,256,71,9.07283225101065,6,6,9
2024-07-28,7716,29,Female,21.43,2.63,5.2,10,64,92,108,7.85632846489666,8,3,4
2024-11-07,6808,30,Male,21.8,2.34,4.54,8,42,89,38,10.420685436638504,1,10,6
2024-08-20,2800,41,Male,20.67,5.26,8.59,5,50,58,166,8.598236434115321,7,3,1
2024-06-16,9210,29,Male,20.73,4.27,7.54,1,44,89,102,11.632265020680325,5,8,9
2024-12-12,9365,40,Female,20.77,1.56,4.8,4,81,145,67,7.070711064359836,4,2,5
2024-05-26,2774,45,Male,20.18,1.08,4.9,9,38,257,28,9.42935965338052,2,3,10
2024-07-28,5658,26,Male,22.45,3.81,5.36,6,26,116,1,8.23993218341135,3,8,2
2024-03-21,5008,29,Other,22.0,2.92,4.92,10,84,61,48,5.728410920093498,9,7,8
2024-10-20,2819,38,Female,22.28,4.8,6.52,7,72,121,29,7.571356131212657,2,3,3
2024-06-04,4243,32,Male,22.37,4.46,6.09,10,56,117,99,7.14379380276233,8,7,2
2024-06-04,1006,21,Male,23.0,5.23,6.23,4,18,156,145,9.095218539637946,1,1,6
2024-03-04,7468,25,Female,23.85,7.25,7.4,6,64,30,131,5.338877865109024,2,5,8
2024-12-09,1442,20,Other,20.05,1.05,5.0,6,63,233,50,4.186816770625487,5,10,5
2024-05-01,3172,54,Female,23.6,6.47,6.87,6,67,273,112,4.7056136303189655,4,1,6
2024-03-08,4236,58,Male,20.55,1.89,5.34,5,86,41,97,6.074679178536756,3,10,1
2024-12-06,1382,38,Other,22.05,4.29,6.24,8,12,110,97,7.911182654339611,3,1,3
2024-09-08,9017,57,Female,20.38,3.99,7.6,5,84,7,27,10.820462255212428,5,4,6
2024-05-26,7207,44,Male,21.17,3.43,6.27,6,20,245,138,8.394579835225393,5,1,8
2024-01-20,2960,29,Female,20.83,3.65,6.81,4,69,182,101,8.179553163243716,8,7,9
2024-08-29,4536,31,Other,21.45,6.09,8.64,4,6,162,47,11.968983597115528,8,4,1
2024-12-02,4935,25,Other,22.62,4.4,5.78,5,12,188,30,9.872238100714451,2,6,6
2024-06-19,4906,27,Female,23.33,5.63,6.29,2,40,151,34,5.685639710937625,9,3,3
2024-09-20,3841,57,Other,21.1,1.82,4.72,4,24,36,0,4.552236327102797,8,8,5
2024-07-06,8295,26,Other,20.58,4.58,8.0,8,22,264,33,4.6211946773728405,4,6,3
2024-03-12,8938,31,Male,20.52,1.38,4.86,3,15,65,167,4.90345314148809,2,10,6
2024-07-06,7465,19,Female,20.92,2.89,5.98,2,38,214,119,7.240821556220531,6,7,5
2024-10-21,3368,34,Male,21.87,2.54,4.67,3,52,274,56,10.076891429598373,1,7,7
2024-02-01,6565,27,Female,23.12,6.39,7.27,4,31,13,177,9.711621060052718,4,5,8
2024-11-30,7846,21,Male,22.37,6.47,8.1,7,30,289,81,10.59022472080932,9,1,9
2024-08-28,8161,46,Female,21.52,4.98,7.47,1,86,87,49,7.735743999708886,6,5,9
2024-11-15,6276,45,Other,20.0,1.15,5.15,9,26,161,171,8.574473308857229,2,3,3
2024-06-25,9389,29,Other,20.27,4.2,7.94,10,28,216,119,9.406781971714691,7,5,5
2024-08-22,4607,28,Male,23.77,8.99,9.22,9,20,210,139,11.995729985725045,1,5,6
2024-10-30,3587,58,Other,22.78,4.33,5.54,3,70,12,140,7.326380005499601,2,9,9
2024-06-14,4893,39,Male,23.73,8.0,8.27,2,8,215,7,9.213118083818213,2,3,6
2024-05-28,1539,57,Female,21.0,5.95,8.95,3,12,48,117,10.256122679463738,5,5,10
2024-02-15,4748,55,Female,21.27,2.39,5.12,10,34,110,101,8.24750142729675,6,4,8
2024-01-29,9931,43,Female,20.32,3.09,6.77,1,57,282,169,10.161265694056768,9,2,5
2024-05-13,5063,49,Male,20.53,4.73,8.2,7,56,125,11,4.010829005723745,5,4,7
2024-08-15,5402,26,Other,23.53,7.06,7.53,8,71,44,58,6.423325830665541,3,9,2
2024-08-13,4276,32,Other,23.42,6.83,7.41,8,8,118,132,8.245898842294686,4,2,6
2024-08-20,6690,43,Other,21.93,5.55,7.61,10,44,266,103,11.251367711315496,1,1,4
2024-04-11,1215,48,Male,21.82,5.77,7.95,2,4,83,51,5.842007365684117,8,6,1
2024-08-13,3783,38,Female,20.08,1.96,5.87,6,61,209,77,8.37261713625836,3,6,8
2024-08-22,9811,50,Male,23.17,7.63,8.47,6,40,271,67,11.611438482894659,8,10,9
2024-11-27,6258,54,Male,21.3,2.68,5.38,6,81,153,133,5.520861198269821,3,2,1
2024-04-16,9436,33,Female,21.9,4.36,6.46,10,7,93,64,7.665877203142671,1,4,8
2024-08-29,6973,46,Female,23.13,7.81,8.68,4,27,254,170,4.368453873519651,10,8,2
2024-02-24,6722,39,Male,22.93,5.45,6.51,10,8,247,154,11.638775944307746,1,9,7
2024-08-28,3451,47,Other,22.8,5.52,6.72,10,77,16,17,11.93953831499823,4,5,2
2024-11-19,4008,18,Female,21.73,7.11,9.37,7,9,202,40,4.31143970660534,10,1,1
2024-10-04,2772,58,Male,23.07,7.16,8.1,8,50,148,98,6.610707447455898,3,3,7
2024-10-29,7297,57,Male,20.22,4.62,8.4,10,83,241,115,5.635687088437694,8,9,3
2024-04-21,1614,45,Female,20.43,1.28,4.85,3,36,194,110,10.487028648063347,8,4,2
2024-01-24,4075,20,Female,20.8,4.0,7.2,8,22,68,94,5.0229344097793405,9,9,9
2024-07-06,6445,54,Male,21.65,3.28,5.63,6,84,211,2,11.061875045387376,6,4,6
2024-08-26,4240,22,Male,22.95,4.96,6.01,5,24,111,154,6.171508621073602,9,6,4
2024-02-08,6141,38,Female,20.12,3.92,7.81,7,30,201,31,5.338570432008483,9,1,10
2024-08-01,3832,21,Other,20.97,5.26,8.3,6,64,190,50,6.9542461617243285,9,8,2
2024-04-13,4854,49,Other,22.08,7.19,9.1,7,38,125,56,6.192572714737528,9,9,6
2024-09-18,2363,20,Male,22.8,6.94,8.14,7,63,64,80,7.044141678959156,4,4,2
2024-12-04,9234,52,Female,21.53,6.88,9.35,7,3,215,58,8.008703042097576,6,9,1
2024-06-16,3240,22,Other,23.08,4.18,5.09,3,18,203,79,5.0537202286327485,10,9,4
2024-04-04,1451,40,Female,23.35,7.21,7.86,5,71,6,118,8.573967865149989,7,3,3
2024-07-28,5595,33,Male,20.18,2.12,5.94,5,26,139,144,11.479955454710122,5,9,5
2024-04-27,1887,50,Female,21.78,3.95,6.17,6,68,46,166,11.555588661554427,4,6,7
2024-03-19,7358,36,Female,20.92,6.37,9.45,8,81,201,104,11.84294992753748,10,10,1
2024-11-17,1517,22,Female,20.07,1.52,5.45,4,40,218,176,7.180899028422965,3,10,2
2024-12-10,9399,19,Female,21.35,2.57,5.22,7,38,218,156,11.404177662815048,4,9,6
2024-05-27,4554,19,Female,20.55,4.57,8.02,6,78,282,9,7.605491799511305,6,9,4
2024-02-28,3555,19,Male,23.0,4.09,5.09,9,9,78,58,9.89228182667834,5,8,6
2024-12-21,9801,47,Male,20.45,4.09,7.64,4,6,136,163,11.517212090348066,10,4,9
2024-08-24,3093,59,Female,23.62,4.63,5.01,2,26,53,177,4.741003864410938,5,9,4
2024-04-02,3426,26,Other,21.3,4.75,7.45,1,42,40,169,9.606941086891457,8,7,1
2024-09-01,9342,49,Other,23.53,5.11,5.57,5,42,289,39,6.838886645969183,2,3,10
2024-06-09,5426,33,Female,21.78,3.95,6.17,2,37,126,18,7.948007937235266,8,3,10
2024-12-23,2014,44,Female,23.83,8.19,8.35,1,72,106,88,6.668854312232345,1,6,5
2024-05-16,2873,38,Female,20.95,2.69,5.74,6,39,113,106,11.490244971751412,2,2,6
2024-05-18,8352,30,Female,23.1,3.88,4.78,6,87,206,128,10.115525824604035,6,2,9
2024-04-11,6103,46,Male,20.15,5.36,9.21,2,70,108,46,9.481074478995872,3,4,5
2024-05-08,1195,29,Other,23.68,6.86,7.18,5,60,51,87,10.314342786557486,7,7,5
2024-02-05,7121,59,Female,22.25,7.13,8.88,5,60,136,5,8.426969517998174,3,7,6
2024-04-27,1086,34,Other,23.03,5.61,6.57,6,72,284,164,7.288748871043518,4,7,1
